Name	Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
ThinkPad E590 (20NBS00100)	18490.0	lenovo	15	fhd	intel	5	8	4	1000	hdd	radeon rx 550x	free dos	2.1
ThinkPad E490s-20NGS01K00	18890.0	lenovo	14	fhd	intel	5	8	8	256	ssd	uhd 620	free dos	1.6
V330-14IKB (81B0008QVN)	10990.0	lenovo	14	hd	intel	3	7	4	1000	hdd	hd 620	free dos	1.5
Ideapad S145-15IWL (81MV00F1VN)	6290.0	lenovo	15	fhd	intel	1	4	4	500	hdd	uhd 620	free dos	1.9
ThinkPad T490s (20NXS00000)	29990.0	lenovo	14	fhd	intel	5	8	8	256	ssd	uhd 620	free dos	1.4
Legion Y530 (81FV00SUVN)	25000.0	lenovo	15	fhd	intel	7	8	8	1000	hdd	gtx 1050	free dos	2.3
ThinkPad L390-20NRS00500	25390.0	lenovo	13	fhd	intel	7	8	8	256	ssd	uhd 620	free dos	1.5
Yoga S730-13IWL (81J0008SVN)	23990.0	lenovo	13	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.1
ThinkPad T490s (20NXS00200)	35490.0	lenovo	14	fhd	intel	7	8	8	256	ssd	uhd 620	free dos	1.4
V330-15IKB (81AX00MCVN)	13990.0	lenovo	15	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.8
ThinkPad E490s-20NGS01N00	21490.0	lenovo	14	fhd	intel	7	8	8	256	ssd	uhd 620	free dos	1.6
Ideapad 330-14AST (81D5002BVN)	8290.0	lenovo	14	hd	intel	9	9	4	500	hdd	radeon r5	win10	2.1
Yoga S730-13IWL (81J00051VN)	23990.0	lenovo	13	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.1
ThinkPad E490 (20N8S0CK00)	17490.0	lenovo	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
ThinkPad X390 (20Q0S03M00)	29990.0	lenovo	13	fhd	intel	5	8	8	256	ssd	uhd 620	free dos	1.3
Ideapad 520s-14IKB (81BL0086VN)	14490.0	lenovo	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.5
Ideapad 330-15IKBR (81DE0041VN)	12800.0	lenovo	15	hd	intel	5	8	4	1000	hdd	uhd 620	win10	2.2
Ideapad 330-14AST (81D5002CVN)	7290.0	lenovo	14	hd	amd	4	9	4	500	hdd	radeon r3	win10	2.1
ThinkPad Edge E580 (20KS005NVA)	15990.0	lenovo	15	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	2.1
V330-15IKB (81AX00MBVN)	11290.0	lenovo	15	hd	intel	3	8	4	1000	hdd	uhd 620	free dos	1.8
ThinkPad L380 (20M5S01E00)	24990.0	lenovo	13	fhd	intel	7	8	8	256	ssd	uhd 620	free dos	1.5
Ideapad 330-15IKB (81DE024CVN)	12790.0	lenovo	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	2.2
ThinkPad E470 (20H10034VN)	16490.0	lenovo	14	hd	intel	5	7	4	500	hdd	hd 620	win10	1.9
Yoga 520-14IKB (80X80107VN)	12490.0	lenovo	14	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
Ideapad S530 13IWL (81J7003TVN)	18490.0	lenovo	13	fhd	intel	5	8	8	512	ssd	uhd 620	win10	1.2
Ideapad 130-15AST (81H50020VN)	6790.0	lenovo	15	hd	amd	4	9	4	500	hdd	radeon r3	win10	2.1
Legion Y740-15IRHG (81UH003JVN)	50000.0	lenovo	15	fhd	intel	7	9	16	1000	ssd	rtx 2060	win10	2.2
Ideapad 320-14ISK (80XG0083VN)	9800.0	lenovo	14	hd	intel	3	6	4	500	hdd	hd 520	win10	2.1
Ideapad 530s-14IKB 81EU007QVN	16590.0	lenovo	14	hd	intel	5	8	4	256	ssd	uhd 620	win10	1.4
